word,valence,arousal,dominance,trust
abstain,0.385,0.385,0.427,0.0
abstention,0.271,0.264,0.509,0.0
abstinence,0.26,0.392,0.429,0.0
abstract,0.438,0.292,0.444,0.0
abstraction,0.469,0.439,0.525,0.0
absurd,0.188,0.656,0.284,0.0
absurdity,0.115,0.528,0.227,0.0
abundance,0.812,0.69,0.852,0.57
abundant,0.958,0.59,0.76,0.0
abuse,0.071,0.873,0.469,0.0
abused,0.021,0.874,0.235,0.0
abusive,0.125,0.903,0.567,0.0
abutment,0.5,0.265,0.616,0.0
aby,0.385,0.452,0.368,0.0
abysmal,0.25,0.71,0.598,0.0
abyss,0.353,0.725,0.296,0.0
academic,0.781,0.42,0.812,0.648
academy,0.704,0.473,0.792,0.0
accede,0.698,0.51,0.537,0.0
accelerant,0.643,0.844,0.802,0.0
accelerate,0.615,0.902,0.759,0.0
accelerated,0.61,0.812,0.682,0.0
acceleration,0.704,0.905,0.843,0.0
accelerator,0.593,0.83,0.812,0.0
accent,0.598,0.357,0.509,0.0
accentuate,0.673,0.556,0.667,0.0
accept,0.847,0.286,0.565,0.664
acceptable,0.812,0.286,0.583,0.0
acceptance,0.833,0.287,0.755,0.68
acceptances,0.847,0.413,0.648,0.0
access,0.714,0.472,0.567,0.0
accessible,0.796,0.41,0.645,0.0
accession,0.612,0.383,0.636,0.0
accessory,0.562,0.292,0.445,0.0
accident,0.125,0.908,0.336,0.0
accidental,0.319,0.784,0.307,0.0
accidentally,0.333,0.741,0.333,0.0
acclaim,0.562,0.809,0.718,0.586
accolade,0.688,0.591,0.775,0.508
accommodate,0.844,0.375,0.566,0.0
accommodation,0.817,0.415,0.587,0.0
accompaniment,0.74,0.479,0.695,0.531
accompany,0.833,0.406,0.585,0.0
accompanying,0.787,0.46,0.582,0.0
accomplice,0.408,0.58,0.51,0.0
accomplish,0.929,0.673,0.816,0.0
accomplished,0.87,0.52,0.798,0.0
accomplishment,0.917,0.694,0.888,0.0
accord,0.898,0.264,0.382,0.617
accordance,0.659,0.349,0.6,0.0
accordion,0.604,0.49,0.361,0.0
account,0.531,0.347,0.472,0.523
accountability,0.755,0.537,0.833,0.664
accountable,0.709,0.282,0.777,0.695
accountant,0.625,0.45,0.639,0.422
accounting,0.552,0.39,0.677,0.0
accounts,0.592,0.34,0.471,0.391
accredited,0.669,0.479,0.768,0.672
accretion,0.448,0.519,0.672,0.0
accrue,0.52,0.481,0.602,0.0
accueil,0.45,0.451,0.47,0.0
accumulate,0.573,0.536,0.607,0.0
accumulation,0.479,0.527,0.6,0.0
accuracy,0.604,0.481,0.802,0.0
accurate,0.743,0.36,0.737,0.625
accursed,0.135,0.745,0.345,0.0
accusation,0.073,0.718,0.564,0.0
accusative,0.198,0.755,0.482,0.0
accuse,0.133,0.752,0.5,0.0
accused,0.13,0.67,0.42,0.0
accuser,0.122,0.779,0.615,0.0
accusing,0.156,0.745,0.324,0.0
accustomed,0.542,0.365,0.441,0.0
ace,0.643,0.481,0.546,0.0
acetic,0.333,0.42,0.519,0.0
acetylene,0.306,0.469,0.509,0.0
ache,0.146,0.76,0.312,0.0
achieve,0.816,0.545,0.843,0.656
achieved,0.896,0.519,0.775,0.0
achievement,0.896,0.808,0.759,0.625
aching,0.053,0.88,0.348,0.0
achy,0.167,0.84,0.373,0.0
acid,0.265,0.642,0.566,0.0
acidity,0.156,0.663,0.36,0.0
acknowledge,0.786,0.37,0.661,0.0
acknowledged,0.714,0.443,0.765,0.0
acknowledgement,0.819,0.539,0.83,0.0
acknowledgment,0.796,0.528,0.777,0.0
acme,0.408,0.435,0.375,0.0
acne,0.167,0.474,0.308,0.0
acorn,0.448,0.198,0.192,0.0
acoustic,0.542,0.462,0.536,0.0
acoustics,0.611,0.33,0.509,0.0
acquaint,0.646,0.491,0.639,0.0
acquaintance,0.656,0.29,0.67,0.0
acquainted,0.906,0.358,0.632,0.0
acquiescence,0.542,0.48,0.554,0.0
acquire,0.833,0.468,0.7,0.0
acquiring,0.735,0.51,0.817,0.0
acquisition,0.698,0.509,0.736,0.0
acquisitions,0.773,0.66,0.79,0.0
acquit,0.583,0.571,0.611,0.0
acquittal,0.76,0.497,0.7,0.0
acre,0.583,0.387,0.423,0.0
acreage,0.741,0.45,0.528,0.0
acres,0.51,0.363,0.5,0.0
acrobat,0.708,0.828,0.602,0.258
acrylic,0.582,0.279,0.42,0.0
act,0.656,0.704,0.735,0.0
acting,0.698,0.643,0.5,0.0
action,0.76,0.898,0.802,0.0
action figure,0.615,0.774,0.611,0.0
actionable,0.673,0.702,0.613,0.0
activate,0.764,0.65,0.806,0.0
activation,0.781,0.8,0.754,0.0
active,0.847,0.73,0.731,0.0
activist,0.531,0.653,0.877,0.0
activity,0.701,0.66,0.807,0.0
actor,0.653,0.561,0.629,0.0
actress,0.633,0.556,0.596,0.305
actual,0.729,0.4,0.716,0.0
actuality,0.75,0.464,0.6,0.0
actuary,0.51,0.404,0.491,0.0
acuity,0.469,0.378,0.741,0.0
acumen,0.564,0.66,0.679,0.0
acupuncture,0.531,0.324,0.549,0.0
acute,0.427,0.652,0.534,0.0
acutely,0.417,0.543,0.491,0.0
ad,0.521,0.705,0.558,0.0
adage,0.517,0.415,0.566,0.0
adamant,0.344,0.529,0.575,0.0
adapt,0.74,0.355,0.551,0.0
adaptable,0.735,0.423,0.641,0.0
adaptation,0.663,0.365,0.609,0.0
add,0.728,0.49,0.554,0.0
added,0.562,0.405,0.509,0.0
addendum,0.392,0.37,0.418,0.0
adder,0.388,0.461,0.588,0.0
addict,0.075,0.696,0.327,0.172
addicted,0.156,0.712,0.483,0.0
addiction,0.18,0.806,0.42,0.0
addictive,0.302,0.683,0.472,0.0
addition,0.562,0.373,0.471,0.0
additional,0.673,0.462,0.526,0.0
additive,0.561,0.633,0.691,0.0
address,0.65,0.327,0.567,0.0
addressee,0.622,0.382,0.538,0.0
addresses,0.51,0.354,0.45,0.0
adept,0.594,0.539,0.789,0.0
adequacy,0.615,0.435,0.702,0.0
adequate,0.854,0.264,0.705,0.0
adhere,0.633,0.339,0.554,0.0
adherence,0.76,0.307,0.63,0.0
adherent,0.561,0.385,0.555,0.0
adhering,0.612,0.561,0.537,0.57
adhesion,0.521,0.445,0.586,0.0
adhesive,0.604,0.35,0.413,0.0
adieu,0.25,0.471,0.342,0.0
adipose,0.333,0.35,0.391,0.0
adjacency,0.365,0.417,0.375,0.0
adjacent,0.645,0.276,0.536,0.0
adjective,0.57,0.316,0.569,0.0
adjoining,0.52,0.4,0.393,0.0
adjourn,0.385,0.456,0.475,0.0
adjournment,0.438,0.51,0.37,0.0
adjudicate,0.559,0.52,0.683,0.0
adjudication,0.551,0.462,0.691,0.0
adjunct,0.459,0.44,0.426,0.0
adjust,0.647,0.327,0.638,0.375
adjuster,0.51,0.54,0.76,0.0
adjustment,0.59,0.52,0.661,0.0
adjuvant,0.51,0.5,0.456,0.0
admin,0.688,0.42,0.854,0.0
administer,0.635,0.425,0.86,0.0
administration,0.625,0.404,0.786,0.0
administrative,0.542,0.415,0.579,0.352
administrator,0.538,0.48,0.902,0.0
admirable,0.929,0.6,0.87,0.734
admiral,0.844,0.49,0.847,0.594
admiralty,0.594,0.547,0.733,0.0
admiration,0.969,0.583,0.726,0.703
admire,0.867,0.692,0.704,0.703
admired,0.917,0.56,0.815,0.0
admirer,0.796,0.72,0.65,0.0
admiring,0.867,0.578,0.629,0.0
admissibility,0.802,0.58,0.602,0.0
admissible,0.78,0.528,0.642,0.508
admission,0.802,0.415,0.732,0.0
admit,0.538,0.423,0.667,0.562
admittance,0.69,0.451,0.598,0.0
admitted,0.72,0.49,0.767,0.461
admitting,0.62,0.5,0.546,0.539
admixture,0.45,0.375,0.438,0.0
admonition,0.357,0.606,0.455,0.0
ado,0.52,0.423,0.385,0.0
adobe,0.5,0.319,0.328,0.0
adolescence,0.487,0.694,0.444,0.0
adolescent,0.781,0.68,0.509,0.0
adopt,0.694,0.612,0.701,0.0
adoption,0.625,0.566,0.589,0.0
adoptive,0.531,0.469,0.52,0.0
adorable,0.969,0.519,0.457,0.0
adoration,0.885,0.699,0.708,0.523
adore,0.854,0.438,0.657,0.578
adoring,0.885,0.62,0.717,0.0
adorn,0.91,0.424,0.482,0.0
adornment,0.918,0.373,0.377,0.0
adrenalin,0.865,0.92,0.786,0.0
adrenaline,0.765,0.965,0.825,0.0
adrift,0.398,0.486,0.23,0.0
adult,0.815,0.491,0.787,0.0
adulterated,0.188,0.865,0.37,0.0
adulterer,0.229,0.814,0.407,0.0
adultery,0.12,0.922,0.51,0.0
adulthood,0.541,0.454,0.652,0.0
advance,0.673,0.472,0.858,0.0
advanced,0.844,0.623,0.797,0.0
advancement,0.776,0.65,0.839,0.0
advancing,0.929,0.608,0.812,0.0
advantage,0.917,0.548,0.859,0.0
advantageous,0.837,0.64,0.789,0.0
advent,0.665,0.56,0.627,0.516
adventure,0.917,0.857,0.71,0.0
adventurer,0.781,0.839,0.868,0.0
adventures,0.812,0.764,0.749,0.0
adventurous,0.969,0.898,0.722,0.0
adversary,0.349,0.777,0.457,0.0
adverse,0.323,0.61,0.385,0.0
adversity,0.276,0.76,0.538,0.0
advertise,0.5,0.529,0.58,0.0
advertisement,0.6,0.566,0.539,0.0
advertising,0.622,0.608,0.632,0.0
adverts,0.551,0.5,0.595,0.0
advice,0.698,0.408,0.688,0.617
advisable,0.867,0.48,0.51,0.648
advise,0.76,0.393,0.705,0.57
advised,0.823,0.33,0.509,0.75
advisement,0.698,0.235,0.655,0.0
adviser,0.745,0.362,0.705,0.688
advisor,0.646,0.35,0.689,0.0
advisory,0.656,0.429,0.633,0.0
advocacy,0.5,0.646,0.731,0.68
advocate,0.551,0.53,0.818,0.664
aegis,0.49,0.439,0.462,0.0
aeration,0.55,0.5,0.433,0.0
aerial,0.615,0.461,0.463,0.0
aerobics,0.708,0.771,0.627,0.0
aerodrome,0.541,0.74,0.678,0.0
aerodynamic,0.561,0.724,0.728,0.0
aerodynamics,0.59,0.663,0.722,0.0
aeronautics,0.551,0.633,0.688,0.0
aeroplane,0.714,0.642,0.644,0.0
aerospace,0.643,0.52,0.779,0.0
aesthetic,0.708,0.442,0.526,0.0
aesthetics,0.847,0.327,0.549,0.0
aetiology,0.48,0.398,0.615,0.0
afar,0.396,0.373,0.358,0.0
affable,0.704,0.38,0.452,0.0
affair,0.52,0.459,0.657,0.0
affect,0.458,0.569,0.578,0.0
affecting,0.35,0.574,0.394,0.0
affection,0.898,0.559,0.696,0.484
affectionate,0.949,0.422,0.55,0.0
affections,0.76,0.547,0.655,0.0
affiche,0.479,0.265,0.402,0.0
affidavit,0.469,0.584,0.526,0.0
affiliated,0.673,0.519,0.535,0.0
affiliation,0.615,0.594,0.5,0.0
affinity,0.8,0.5,0.537,0.0
affirm,0.745,0.509,0.731,0.68
affirmation,0.75,0.5,0.689,0.0
affirmative,0.854,0.589,0.816,0.0
affirmatively,0.908,0.5,0.811,0.664
affix,0.438,0.335,0.411,0.0
afflict,0.302,0.555,0.293,0.0
afflicted,0.271,0.5,0.167,0.0
affliction,0.294,0.635,0.392,0.0
affluence,0.663,0.618,0.722,0.0
affluent,0.756,0.388,0.477,0.0
afford,0.571,0.58,0.575,0.0
affordable,0.84,0.398,0.493,0.0
affront,0.327,0.74,0.547,0.0
affronted,0.385,0.75,0.527,0.0
afield,0.594,0.37,0.373,0.0
afire,0.367,0.904,0.675,0.0
afloat,0.602,0.427,0.444,0.0
afore,0.5,0.337,0.382,0.0
aforementioned,0.49,0.316,0.408,0.0
aforesaid,0.531,0.358,0.478,0.0
afraid,0.01,0.775,0.245,0.0
afresh,0.643,0.521,0.48,0.0
aft,0.48,0.417,0.518,0.0
afterlife,0.571,0.567,0.568,0.0
aftermath,0.312,0.449,0.444,0.0
afternoon,0.533,0.388,0.339,0.0
aftershave,0.406,0.384,0.415,0.0
aftertaste,0.354,0.362,0.455,0.0
afterthought,0.396,0.392,0.349,0.0
aga,0.542,0.327,0.398,0.359
agape,0.612,0.529,0.464,0.0
agate,0.54,0.377,0.483,0.0
age,0.561,0.226,0.498,0.0
aged,0.135,0.365,0.236,0.0
agency,0.46,0.296,0.583,0.0
agenda,0.531,0.296,0.553,0.0
agent,0.48,0.439,0.755,0.0
agglomeration,0.45,0.765,0.509,0.0
aggravate,0.224,0.77,0.464,0.0
aggravated,0.079,0.76,0.43,0.0
aggravates,0.108,0.778,0.357,0.0
aggravating,0.257,0.794,0.64,0.0
aggravation,0.071,0.784,0.613,0.0
aggregate,0.73,0.378,0.556,0.0
aggregation,0.583,0.517,0.694,0.0
aggresive,0.059,0.971,0.639,0.0
aggression,0.094,0.929,0.533,0.0
aggressive,0.125,0.949,0.648,0.0
aggressively,0.25,0.926,0.688,0.0
aggressiveness,0.077,0.913,0.648,0.0
aggressor,0.146,0.948,0.823,0.0
agh,0.26,0.5,0.4,0.0
aghast,0.133,0.865,0.464,0.0
aghhh,0.281,0.635,0.243,0.0
agile,0.8,0.657,0.775,0.0
agility,0.72,0.702,0.815,0.0
aging,0.214,0.255,0.284,0.0
agitate,0.3,0.796,0.593,0.0
agitated,0.444,0.882,0.491,0.0
agitation,0.24,0.931,0.447,0.0
aglow,0.78,0.51,0.797,0.0
agnostic,0.306,0.396,0.574,0.0
ago,0.317,0.28,0.404,0.0
agonizing,0.083,0.8,0.34,0.0
agony,0.083,0.775,0.393,0.0
agoraphobia,0.127,0.712,0.438,0.0
agree,0.906,0.26,0.545,0.0
agreeable,0.906,0.5,0.696,0.695
agreed,0.797,0.449,0.574,0.648
agreeing,0.854,0.48,0.557,0.68
agreement,0.76,0.44,0.736,0.727
agressive,0.083,0.918,0.751,0.0
agricultural,0.686,0.321,0.473,0.0
agriculture,0.64,0.357,0.465,0.0
aground,0.333,0.34,0.445,0.0
agua,0.598,0.18,0.436,0.0
ahead,0.708,0.52,0.673,0.0
ahhh,0.562,0.517,0.241,0.0
ahhhhhhhh,0.552,0.649,0.288,0.0
ahoy,0.5,0.497,0.38,0.0
aid,0.796,0.491,0.541,0.0
aide,0.724,0.342,0.434,0.0
aiding,0.643,0.533,0.569,0.0
aids,0.561,0.48,0.5,0.0
ail,0.375,0.434,0.385,0.0
ailing,0.094,0.518,0.153,0.0
ailment,0.146,0.734,0.277,0.0
aim,0.481,0.569,0.567,0.0
aimless,0.15,0.267,0.183,0.0
air,0.708,0.163,0.427,0.0
airbag,0.51,0.402,0.433,0.0
airborne,0.542,0.519,0.385,0.0
aircraft,0.646,0.644,0.691,0.0
aircraft carrier,0.49,0.74,0.727,0.0
airfield,0.601,0.65,0.645,0.0
airhead,0.271,0.481,0.276,0.0
airlift,0.573,0.622,0.642,0.0
airline,0.65,0.482,0.688,0.0
airliner,0.667,0.777,0.647,0.0
airlock,0.398,0.52,0.447,0.0
airman,0.587,0.716,0.721,0.0
airplane,0.719,0.702,0.708,0.0
airport,0.729,0.684,0.682,0.0
airs,0.583,0.196,0.37,0.0
airship,0.542,0.472,0.529,0.0
airspace,0.562,0.51,0.64,0.0
airspeed,0.583,0.78,0.544,0.0
airstrip,0.55,0.69,0.649,0.0
airtight,0.479,0.381,0.57,0.0
airway,0.638,0.585,0.482,0.0
aisle,0.438,0.222,0.283,0.0
ait,0.385,0.39,0.402,0.0
ajar,0.46,0.413,0.446,0.0
aka,0.459,0.358,0.351,0.0
akin,0.639,0.343,0.523,0.414
alabaster,0.542,0.404,0.445,0.0
alarm,0.241,0.882,0.698,0.0
alarm clock,0.542,0.727,0.642,0.0
alarmed,0.188,0.822,0.492,0.0
alarming,0.204,0.89,0.585,0.0
alas,0.571,0.31,0.279,0.0
alb,0.521,0.38,0.427,0.234
albatross,0.5,0.445,0.527,0.0
albino,0.5,0.24,0.358,0.0
album,0.635,0.349,0.453,0.0
alchemy,0.541,0.583,0.693,0.0
alcohol,0.323,0.667,0.377,0.0
alcoholic,0.153,0.688,0.361,0.0
alcoholism,0.061,0.779,0.407,0.0
alcove,0.49,0.34,0.356,0.0
alderman,0.55,0.459,0.691,0.0
ale,0.53,0.45,0.358,0.0
alert,0.479,0.82,0.648,0.0
alertness,0.375,0.875,0.75,0.0
alerts,0.337,0.804,0.673,0.0
alfalfa,0.546,0.25,0.311,0.0
algebra,0.44,0.34,0.565,0.0
algebraic,0.531,0.412,0.441,0.0
algorithm,0.448,0.394,0.559,0.0
alias,0.541,0.353,0.333,0.0
alibi,0.396,0.528,0.556,0.0
alien,0.41,0.615,0.491,0.0
alienate,0.247,0.5,0.523,0.0
alienated,0.41,0.423,0.559,0.0
alienation,0.378,0.53,0.462,0.0
alight,0.667,0.657,0.605,0.0
align,0.656,0.364,0.627,0.0
aligned,0.583,0.275,0.553,0.0
alignment,0.643,0.412,0.683,0.0
alike,0.653,0.173,0.444,0.0
alimentation,0.781,0.551,0.602,0.0
alimony,0.612,0.477,0.464,0.0
aliquot,0.44,0.31,0.404,0.0
alive,0.816,0.637,0.731,0.5
alkali,0.49,0.35,0.408,0.0
alkaloids,0.433,0.562,0.402,0.0
allay,0.417,0.406,0.398,0.0
allegation,0.578,0.578,0.608,0.0
allege,0.418,0.482,0.587,0.0
alleged,0.365,0.522,0.52,0.0
allegiance,0.917,0.398,0.75,0.711
allegorical,0.517,0.558,0.598,0.0
allegory,0.615,0.58,0.509,0.0
allegro,0.635,0.627,0.453,0.0
allergic,0.135,0.549,0.273,0.0
allergy,0.296,0.606,0.389,0.0
alleviate,0.869,0.27,0.528,0.0
alleviation,0.735,0.2,0.491,0.0
alley,0.347,0.5,0.355,0.0
alleyway,0.357,0.471,0.382,0.0
alliance,0.696,0.473,0.769,0.727
allied,0.714,0.245,0.642,0.695
alligator,0.354,0.704,0.645,0.0
allocate,0.673,0.462,0.672,0.0
allocation,0.604,0.388,0.679,0.0
allot,0.622,0.481,0.616,0.0
allotment,0.6,0.39,0.64,0.0
allow,0.698,0.429,0.538,0.0
allowable,0.698,0.5,0.561,0.0
allowance,0.673,0.382,0.591,0.0
allowed,0.73,0.36,0.655,0.0
alloy,0.583,0.443,0.593,0.0
allsmiles,0.786,0.528,0.43,0.0
allure,0.804,0.585,0.686,0.0
alluring,0.837,0.745,0.843,0.0
allusion,0.44,0.308,0.462,0.0
alluvial,0.323,0.49,0.491,0.0
ally,0.792,0.32,0.688,0.75
almanac,0.688,0.19,0.412,0.0
almighty,0.938,0.874,0.958,0.0
almond,0.698,0.183,0.314,0.0
aloft,0.771,0.373,0.7,0.0
aloha,0.698,0.44,0.441,0.0
alone,0.333,0.167,0.216,0.0
alongside,0.458,0.333,0.347,0.0
aloof,0.189,0.423,0.302,0.0
aloud,0.458,0.713,0.75,0.0
alpha,0.708,0.34,0.755,0.0
alphabet,0.562,0.204,0.672,0.0
alphabetical,0.537,0.296,0.535,0.0
alpine,0.594,0.337,0.474,0.0
alreadyyyyy,0.592,0.717,0.351,0.0
altar,0.724,0.387,0.635,0.0
altar boy,0.434,0.206,0.35,0.0
alter,0.333,0.694,0.654,0.0
alteration,0.167,0.798,0.609,0.0
altercation,0.17,0.806,0.5,0.0
altered,0.255,0.765,0.5,0.0
alternate,0.625,0.363,0.589,0.0
alternating,0.48,0.494,0.542,0.0
alternative,0.628,0.373,0.631,0.0
altimeter,0.615,0.51,0.58,0.0
altitude,0.708,0.482,0.736,0.0
alto,0.656,0.404,0.73,0.0
altogether,0.833,0.324,0.644,0.0
aluminum,0.449,0.28,0.434,0.0
alumnus,0.633,0.368,0.422,0.0
alveolar,0.469,0.481,0.367,0.0
alzheimers,0.194,0.518,0.319,0.0
amalgam,0.438,0.333,0.51,0.0
amalgamation,0.406,0.47,0.531,0.0
amaretto,0.543,0.551,0.375,0.0
amass,0.552,0.465,0.465,0.0
amateur,0.469,0.5,0.409,0.0
amaze,0.896,0.843,0.783,0.0
amazed,0.796,0.779,0.533,0.0
amazedness,0.827,0.872,0.51,0.0
amazement,0.75,0.8,0.639,0.0
amazing,0.906,0.837,0.849,0.0
amazingly,0.918,0.765,0.92,0.0
ambassador,0.651,0.529,0.917,0.664
amber,0.635,0.308,0.369,0.0
ambience,0.735,0.356,0.426,0.0
ambient,0.625,0.36,0.582,0.0
ambiguity,0.164,0.46,0.37,0.0
ambiguous,0.265,0.462,0.358,0.0
ambit,0.479,0.38,0.386,0.0
ambition,0.51,0.804,0.661,0.586
ambitious,0.484,0.821,0.717,0.0
ambivalent,0.51,0.404,0.482,0.0
ambrosia,0.571,0.452,0.48,0.0
ambulance,0.5,0.75,0.609,0.555
ambush,0.281,0.83,0.5,0.0
ameliorate,0.77,0.548,0.747,0.0
amen,0.781,0.182,0.542,0.516
amenable,0.448,0.41,0.406,0.0
amend,0.688,0.406,0.658,0.0
amendment,0.531,0.459,0.606,0.0
amends,0.64,0.366,0.517,0.0
amenity,0.75,0.327,0.574,0.0
amethyst,0.622,0.406,0.517,0.0
amiable,0.847,0.29,0.483,0.0
amicable,0.875,0.33,0.507,0.0
amid,0.51,0.34,0.256,0.0
amidst,0.48,0.33,0.316,0.0
amino,0.551,0.402,0.433,0.0
ammo,0.323,0.765,0.621,0.0
ammonia,0.292,0.587,0.409,0.0
ammonium,0.354,0.396,0.368,0.0
ammunition,0.338,0.635,0.667,0.0
amnesia,0.296,0.33,0.308,0.0
amnesty,0.551,0.451,0.814,0.0
amorous,0.844,0.67,0.636,0.0
amorphous,0.327,0.402,0.349,0.0
amortization,0.592,0.491,0.522,0.414
amount,0.562,0.422,0.649,0.0
amour,0.865,0.48,0.652,0.508
amp,0.439,0.393,0.375,0.0
ampersand,0.48,0.448,0.483,0.0
amphetamines,0.133,0.667,0.526,0.0
amphibian,0.427,0.357,0.474,0.0
amphibious,0.479,0.346,0.445,0.0
amphitheater,0.653,0.48,0.545,0.0
ample,0.744,0.349,0.719,0.0
amplification,0.69,0.677,0.81,0.0
amplify,0.677,0.735,0.827,0.0
amplitude,0.694,0.439,0.692,0.0
amply,0.781,0.431,0.766,0.0
amputate,0.092,0.66,0.509,0.0
amputation,0.1,0.755,0.483,0.0
amuck,0.385,0.602,0.321,0.0
amulet,0.781,0.26,0.63,0.0
amuse,0.812,0.684,0.664,0.0
amused,0.942,0.847,0.596,0.0
amusement,0.929,0.837,0.803,0.0
amusing,0.96,0.829,0.632,0.0
ana,0.541,0.3,0.314,0.0
anaconda,0.146,0.83,0.54,0.0
anaesthesia,0.35,0.217,0.473,0.0
anaesthetic,0.449,0.268,0.509,0.0
anagram,0.552,0.327,0.449,0.0
anal,0.333,0.798,0.334,0.0
analgesic,0.417,0.321,0.441,0.0
analogous,0.531,0.27,0.5,0.0
analogue,0.57,0.32,0.446,0.0
analogy,0.51,0.367,0.509,0.0
analysis,0.729,0.448,0.705,0.0
analyst,0.604,0.415,0.755,0.531
analytic,0.665,0.521,0.634,0.0
analytical,0.625,0.324,0.8,0.0
analyze,0.667,0.462,0.71,0.0
analyzer,0.625,0.556,0.854,0.0
anaphylactic,0.378,0.588,0.5,0.0
anarchism,0.125,0.804,0.623,0.0
anarchist,0.204,0.7,0.759,0.0
anarchy,0.146,0.755,0.62,0.0
anastomosis,0.375,0.47,0.49,0.0
anathema,0.286,0.49,0.519,0.0
anatomic,0.562,0.442,0.546,0.0
anatomy,0.562,0.39,0.571,0.0
ancestor,0.592,0.388,0.594,0.0
ancestral,0.64,0.481,0.75,0.547
ancestry,0.708,0.519,0.717,0.0
anchor,0.52,0.284,0.564,0.0
anchorage,0.5,0.325,0.639,0.0
ancient,0.42,0.217,0.439,0.0
ancillary,0.449,0.442,0.278,0.0
androgen,0.255,0.523,0.527,0.0
android,0.663,0.436,0.5,0.0
anecdote,0.583,0.529,0.5,0.0
anemia,0.188,0.327,0.31,0.0
anemic,0.167,0.279,0.155,0.0
anemone,0.552,0.538,0.327,0.0
anesthesia,0.365,0.216,0.394,0.0
anesthesiologist,0.419,0.224,0.526,0.0
anesthetic,0.35,0.264,0.482,0.0
aneurysm,0.115,0.69,0.536,0.0
anew,0.771,0.358,0.385,0.0
angel,0.906,0.158,0.704,0.625
angelic,0.927,0.298,0.668,0.586
anger,0.167,0.865,0.657,0.0
angered,0.01,0.86,0.547,0.0
angermanagement,0.26,0.632,0.482,0.0
angina,0.23,0.63,0.464,0.0
angiogram,0.347,0.52,0.465,0.0
angiography,0.378,0.536,0.52,0.0
angle,0.541,0.33,0.455,0.0
angling,0.625,0.408,0.5,0.0
angora,0.529,0.425,0.405,0.0
angriest,0.094,0.892,0.43,0.0
angry,0.122,0.83,0.604,0.0
angrytweet,0.265,0.644,0.471,0.0
angst,0.167,0.888,0.333,0.0
anguish,0.153,0.792,0.265,0.0
anguished,0.135,0.72,0.307,0.0
angular,0.449,0.281,0.444,0.0
anhydrous,0.456,0.365,0.355,0.0
animal,0.521,0.51,0.513,0.0
animate,0.827,0.755,0.635,0.0
animated,0.823,0.676,0.538,0.0
animation,0.888,0.75,0.549,0.0
